qDate,qTime,lng,lat,qType,qCityname,Weather,light,RoadtYPE,Location,AccidentType,Ranking
20230702,151200,120.23,23,交叉路口,臺南市東區東平路段巷弄139號東興路口,晴,0,四岔路,交叉路口內,對撞,6
20230715,210500,120.19,23,交叉路口,臺南市中西區武聖路段69巷99弄號文祥街口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230703,155004,120.14,23.06,其他,臺南市安南區段巷弄號口無名道路153952燈桿前,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230706,120546,120.19,23.02,一般地址,臺南市安南區府安路6段27巷弄19號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230722,202300,120.18,23.02,其他,臺南市安南區段巷弄號口府安路六段與生態街口,晴,1,三岔路,交叉路口內,對撞,6
20230708,111021,120.23,23,一般地址,臺南市北區林森路三段段86巷弄號口,晴,1,三岔路,交叉路口內,對撞,6
20230715,185000,120.22,23.01,一般地址,臺南市北區北園街段87巷弄號口,晴,1,四岔路,交叉路口內,對撞,6
20230706,103200,120.19,22.97,一般地址,臺南市南區鹽埕路段291巷32弄118號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230702,104500,120.17,23.16,一般地址,臺南市佳里區光復路段巷弄177號口,晴,0,直路,快車道,對撞,6
20230707,170129,120.14,23.29,其他,臺南市北門區段巷弄號口保吉里蚵寮743之2號前,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230719,72000,120.25,23.12,一般地址,臺南市安定區蘇厝段巷弄304之8號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230715,154000,120.28,23.07,其他,臺南市新市區段巷弄號口社內40之1號,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230703,95800,120.26,22.95,其他,臺南市仁德區段巷弄號口六甲三街146巷,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230703,180800,120.3,22.95,其他,臺南市歸仁區段巷弄號口凱旋路一段601巷11號旁,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230712,101400,120.27,22.99,其他,臺南市仁德區段巷弄號口太子路31巷內(路燈265147),晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230731,183520,120.31,22.97,其他,臺南市歸仁區段巷弄號口歸仁里中山路一段2巷中間段,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230707,152447,120.22,23.04,其他,臺南市永康區段巷弄號口洲工街97號後方河堤道路,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230721,114600,120.23,23,一般地址,臺南市永康區中華一路段巷弄290號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230723,153400,120.22,23.01,一般地址,臺南市永康區柴頭港溪便道段巷弄號口,雨,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230725,90246,120.24,23.04,一般地址,臺南市永康區中正南路段726巷弄12號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230703,171549,120.38,23.24,其他,臺南市柳營區段巷弄號口果毅里無名道路(路燈定位編號572123),晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230708,91000,120.32,23.3,其他,臺南市新營區段巷弄號口新營南平交道620292號路燈,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230714,124900,120.31,23.3,交叉路口,臺南市新營區延平路段巷弄號廠前街口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230714,183600,120.39,23.26,其他,臺南市柳營區段巷弄號口旭山里無名道路580411路燈,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230708,155920,120.24,23.18,其他,臺南市麻豆區段巷弄號口埤頭里國道1號下方機車涵洞道路(南向),晴,0,直路,機車專用道,對撞,6
20230804,182554,120.23,22.97,一般地址,臺南市東區仁和路段巷弄77-23號口,晴,1,三岔路,交叉路口內,對撞,6
20230803,114800,120.22,22.98,一般地址,臺南市東區崇學路段142巷弄6號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230811,155327,120.17,23.05,其他,臺南市安南區段巷弄號口安中路四段290巷296號,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230827,132301,120.13,23.06,一般地址,臺南市安南區安中路6段巷弄656號口,晴,0,直路,機車優先道,對撞,6
20230806,121000,120.18,23.05,其他,臺南市安南區段巷弄號口功安一街69號,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230807,74500,120.16,23,其他,臺南市安平區段巷弄號口安平路850巷4弄,陰,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230830,195741,120.18,22.92,一般地址,臺南市南區灣裡路段巷弄728號口,雨,1,直路,一般車道(未劃分快慢車道),對撞,6
20230827,110000,120.19,22.98,一般地址,臺南市南區新興路段巷弄240號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230811,121027,120.27,23.1,其他,臺南市新市區段巷弄號口堤塘港路燈桿16-04-05,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230831,91400,120.25,23.1,其他,臺南市新市區段巷弄號口豐華里國1道313.3公里西側便道,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230822,103500,120.23,22.93,其他,臺南市仁德區段巷弄號口保安里保安路一段149號,晴,1,坡路,一般車道(未劃分快慢車道),對撞,6
20230801,204000,120.24,23.02,一般地址,臺南市永康區中山南路段316巷弄29號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230804,120700,120.26,23.03,一般地址,臺南市永康區中山路段41巷弄號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230828,73200,120.24,23.05,交叉路口,臺南市永康區永安路段巷弄號鹽水溪河堤道路口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230828,174400,120.25,23.01,一般地址,臺南市永康區永二街段245巷弄48號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230814,82500,120.23,23.02,一般地址,臺南市永康區中華西街段巷弄283號口,陰,1,直路,一般車道(未劃分快慢車道),對撞,6
20230823,113705,120.32,23.32,一般地址,臺南市新營區王公里大公街段巷弄48號口,晴,0,四岔路,交叉路口內,對撞,6
20230811,141000,120.42,23.34,無,臺南市白河區段巷弄號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
